1729665455604|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666273485|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666273486|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666273488|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666300602|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666300604|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666300605|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666300606|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666300613|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666300614|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729666300618|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666300619|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666300621|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666457418|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666457420|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666457421|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666457422|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666457429|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666457430|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729666457434|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666457435|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666457437|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666826276|2|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666826278|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666826281|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666826282|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666826289|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666826290|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729666826294|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666826296|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666826300|3|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729666937759|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729666937761|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729666937762|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729666937763|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729666937770|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729666937771|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729666937774|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729666937776|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729666937779|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729667178290|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729667178303|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729667178304|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729667178305|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729667178311|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729667178312|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729667178315|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729667178316|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729667178318|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729668046924|2|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729668046925|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729668046927|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729668046928|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729668046933|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729668046934|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729668046954|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729668046956|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729668046959|3|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729668079302|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729668079304|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729668079306|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729668079306|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729668079313|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729668079314|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729668079318|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729668079320|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729668079322|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
1729668316795|2|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists member cascade |     drop table if exists member cascade 
1729668316809|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop table if exists team cascade |     drop table if exists team cascade 
1729668316811|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1729668316812|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/datajpa|     drop sequence if exists team_seq|     drop sequence if exists team_seq
1729668316818|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1729668316819|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create sequence team_seq start with 1 increment by 50|     create sequence team_seq start with 1 increment by 50
1729668316823|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )|     create table member (         age integer not null,         created_date timestamp(6),         last_modified_date timestamp(6),         member_id bigint not null,         team_id bigint,         created_by varchar(255),         last_modified_by varchar(255),         username varchar(255),         primary key (member_id)     )
1729668316824|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )|     create table team (         member_id bigint not null,         name varchar(255),         primary key (member_id)     )
1729668316826|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/datajpa|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team|     alter table if exists member         add constraint FKcjte2jn9pvo9ud2hyfgwcja0k         foreign key (team_id)         references team
